CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 2017.531250 1742497249.1888
MEM 2031.031250 1742497249.2899
MEM 2057.093750 1742497249.3909
MEM 2075.281250 1742497249.4919
MEM 2096.093750 1742497249.5926
MEM 2116.718750 1742497249.6936
MEM 2138.281250 1742497249.7947
MEM 2144.281250 1742497249.8956
MEM 2144.281250 1742497249.9967
MEM 2144.281250 1742497250.0983
MEM 2144.281250 1742497250.2004
MEM 2144.281250 1742497250.3016
MEM 2144.281250 1742497250.4023
MEM 2144.281250 1742497250.5031
MEM 2144.281250 1742497250.6043
MEM 2144.281250 1742497250.7052
MEM 2144.281250 1742497250.8070
MEM 2144.281250 1742497250.9076
MEM 2144.281250 1742497251.0128
MEM 2144.281250 1742497251.1151
MEM 2144.281250 1742497251.2164
MEM 2144.281250 1742497251.3170
MEM 2144.281250 1742497251.4177
MEM 2144.281250 1742497251.5205
MEM 2144.281250 1742497251.6212
MEM 2144.281250 1742497251.7227
MEM 2144.281250 1742497251.8248
MEM 2144.281250 1742497251.9258
MEM 2144.281250 1742497252.0275
MEM 2144.281250 1742497252.1282
MEM 2144.281250 1742497252.2292
MEM 2144.281250 1742497252.3357
MEM 2144.281250 1742497252.4363
MEM 2144.281250 1742497252.5371
MEM 2144.281250 1742497252.6381
MEM 2144.281250 1742497252.7391
MEM 2144.281250 1742497252.8419
MEM 2144.281250 1742497252.9425
MEM 2144.281250 1742497253.0447
MEM 2144.281250 1742497253.1499
MEM 2144.281250 1742497253.2510
MEM 2144.281250 1742497253.3516
MEM 2144.281250 1742497253.4547
MEM 2144.281250 1742497253.5559
MEM 2144.281250 1742497253.6575
MEM 2144.281250 1742497253.7593
MEM 2144.281250 1742497253.8603
MEM 2144.281250 1742497253.9620
MEM 2144.281250 1742497254.0649
MEM 2144.281250 1742497254.1671
MEM 2144.281250 1742497254.2682
MEM 2144.281250 1742497254.3712
MEM 2144.281250 1742497254.4719
MEM 2144.281250 1742497254.5730
MEM 2144.281250 1742497254.6741
MEM 2144.281250 1742497254.7753
MEM 2144.281250 1742497254.8780
MEM 2144.281250 1742497254.9824
MEM 2144.281250 1742497255.0831
MEM 2144.281250 1742497255.1849
MEM 2144.281250 1742497255.2863
MEM 2144.281250 1742497255.3890
MEM 2144.281250 1742497255.4939
MEM 2144.281250 1742497255.5954
MEM 2144.281250 1742497255.6966
MEM 2144.281250 1742497255.8007
MEM 2144.281250 1742497255.9015
MEM 2144.281250 1742497256.0030
MEM 2144.281250 1742497256.1036
MEM 2144.281250 1742497256.2049
MEM 2144.281250 1742497256.3058
MEM 2144.281250 1742497256.4070
MEM 2144.281250 1742497256.5082
MEM 2144.281250 1742497256.6089
MEM 2144.281250 1742497256.7110
MEM 2144.281250 1742497256.8120
MEM 2144.281250 1742497256.9128
MEM 2144.281250 1742497257.0141
MEM 2144.281250 1742497257.1179
MEM 2144.281250 1742497257.2223
MEM 2144.281250 1742497257.3237
MEM 2144.281250 1742497257.4246
MEM 2144.281250 1742497257.5285
MEM 2144.281250 1742497257.6321
MEM 2144.281250 1742497257.7334
MEM 2144.281250 1742497257.8357
MEM 2144.281250 1742497257.9367
MEM 2144.281250 1742497258.0397
MEM 2144.281250 1742497258.1453
MEM 2144.281250 1742497258.2461
